bs_map_id,title,artist,mapper_name,mapper_id,duration_seconds,auto_mapped,upload_date,upvotes,downvotes,score,tags,difficulties,last_fetched,spotify_id,bs_map_link,spotify_link,sp_title,sp_artist,sp_artist_id,album,album_released,album_type,sp_duration,artist_genres,sp_danceability,sp_energy,sp_key,sp_loudness,sp_mode,sp_speechiness,sp_acousticness,sp_instrumentalness,sp_liveness,sp_valence,sp_tempo,sp_time_signature,sp_popularity,artist_match,title_match,duration_difference,match_conclusion
387ab,GT (prod. KENZIE),BAE173,Royal,4285088,222,False,2023-12-31T23:27:59.640088Z,12,2,0.761,"['balanced', 'accuracy', 'k-pop', 'hip-hop-rap']",['ExpertPlus'],2024-01-12,6W9ejn591TMQJNSedTNZGv,https://beatsaver.com/maps/387ab,http://open.spotify.com/track/6W9ejn591TMQJNSedTNZGv,GT (prod. KENZIE),BAE173,5fJVQ0nHnXNlNSXIbF6jcm,PEAK TIME - <FINAL ROUND>,2023,album,220893.0,[],0.747,0.885,11.0,-3.22,0.0,0.0577,0.0261,0.0,0.348,0.355,103.02,4.0,27.0,True,True,1.1069999999999993,True
387a8,USAO ULTIMATE HYPER MEGA MIX,USAO,Astellic,4298494,314,False,2023-12-31T22:44:57.295191Z,11,1,0.7946,"['tech', 'speed', 'electronic', 'dubstep']",['ExpertPlus'],2024-01-12,4WL9AC4eVRrItAiqxT3mRS,https://beatsaver.com/maps/387a8,http://open.spotify.com/track/4WL9AC4eVRrItAiqxT3mRS,USAO - SUPER ULTIMATE ULTRA MIRACLE MARVELOUS HYPER Club Mix,DJ Genki,787mj6iFvEpBBuQQRDdMXB,FUSION AXELL,2019,album,214252.0,['j-core'],0.373,0.939,5.0,-3.783,1.0,0.338,0.000152,0.0461,0.836,0.197,200.128,4.0,16.0,False,False,99.74799999999999,False
387a6,Why Am I Like This?,The Word Alive,LostQK,4307032,195,False,2023-12-31T22:42:42.628104Z,6,0,0.7915,['none'],['ExpertPlus'],2024-01-12,1wZy1qIk3qPVv33I9bALi6,https://beatsaver.com/maps/387a6,http://open.spotify.com/track/1wZy1qIk3qPVv33I9bALi6,Why Am I Like This?,The Word Alive,1CF8aEN939swnuIZGFI7Hk,Violent Noise,2018,album,193653.0,"['melodic metalcore', 'metalcore', 'trancecore']",0.321,0.949,2.0,-3.332,1.0,0.0633,9.78e-05,1.1e-06,0.322,0.23,175.103,4.0,55.0,True,True,1.3470000000000084,True
387a4,Meant To Fix Me.,DJDOG,DJDO9,4311218,163,False,2023-12-31T22:23:25.684121Z,0,0,0.5,"['hip-hop-rap', 'indie', 'balanced']",['ExpertPlus'],2024-01-12,6f829nBXwUT46FrRg0AVd3,https://beatsaver.com/maps/387a4,http://open.spotify.com/track/6f829nBXwUT46FrRg0AVd3,Can't Catch Me,Dr. Dog,4mLJ3XfOM5FPjSAWdQ2Jk7,"Critical 7""",2019,album,208482.0,"['chamber pop', 'indie rock', 'modern folk rock', 'philly indie', 'pov: indie', 'seattle indie', 'stomp and holler']",0.504,0.47,4.0,-9.253,1.0,0.0269,0.0743,0.681,0.273,0.558,81.394,3.0,31.0,False,False,45.482,False
387a3,title track,Machine Gun Kelly,CMP1111,75106,169,False,2023-12-31T22:19:12.948728Z,11,0,0.8465,"['pop', 'rock', 'balanced']","['Easy', 'Normal', 'Hard', 'Expert', 'ExpertPlus']",2024-01-12,4kDgnKgZTX6puRz9EoNjle,https://beatsaver.com/maps/387a3,http://open.spotify.com/track/4kDgnKgZTX6puRz9EoNjle,title track,Machine Gun Kelly,6TIYQ3jFPwQSRmorSezPxX,Tickets To My Downfall,2020,album,165967.0,"['ohio hip hop', 'pop rap']",0.268,0.829,7.0,-5.17,1.0,0.101,0.00107,0.0,0.157,0.351,199.886,4.0,58.0,True,True,3.032999999999987,True
387a2,Grand Theft Auto VI Trailer 1,Rockstar Games,nogamea444YT,141615,90,False,2023-12-31T22:05:17.247025Z,3,2,0.5546,['none'],['ExpertPlus'],2024-01-12,5ObACsupwtxnYfOWKO0Wzo,https://beatsaver.com/maps/387a2,http://open.spotify.com/track/5ObACsupwtxnYfOWKO0Wzo,The Set Up,Favored Nations,2kwaccOo07oL6joEC5Kc2X,"The Music of Grand Theft Auto V, Vol. 1: Original Music",2013,album,243120.0,[],0.84,0.739,7.0,-7.273,1.0,0.0376,0.0295,0.0237,0.191,0.919,125.007,4.0,62.0,False,False,153.12,False
38736,Synth Wars 2: Revenge of the Synth,Moose with a Scarf,dereknalox123,4288823,197,False,2023-12-31T22:04:25.543686Z,12,0,0.8535,"['balanced', 'electronic', 'house']",['ExpertPlus'],2024-01-12,1p3gE6uhW8af3HGYw8G48W,https://beatsaver.com/maps/38736,http://open.spotify.com/track/1p3gE6uhW8af3HGYw8G48W,Synth Wars 2: Revenge of the Synth,Moose with a Scarf,2rUfMUDEi63j4WsvL3ULgP,Neon Kingdom,2022,album,195000.0,[],0.627,0.61,4.0,-4.053,0.0,0.0513,0.116,0.0,0.356,0.538,160.052,4.0,17.0,True,True,2.0,True
387a0,#1f1e33,Camellia,a-jhintleman,4285146,545,False,2024-01-01T22:59:40.155007Z,16,2,0.7979,"['tech', 'drum-and-bass', 'electronic']",['ExpertPlus'],2024-01-12,6KjMvgPBb5r6yJWcMCpuoe,https://beatsaver.com/maps/387a0,http://open.spotify.com/track/6KjMvgPBb5r6yJWcMCpuoe,#1f1e33,Camellia,4bwIf0yXJf0F9AmOl2J78M,#1f1e33,2020,album,169244.0,"['denpa-kei', 'rhythm game']",0.169,0.993,11.0,-1.078,0.0,0.393,0.000334,8.27e-05,0.0948,0.0766,182.414,4.0,32.0,True,True,375.756,True
3879f,ADHD,Bongz_G,Err0r_4O4,4340116,104,False,2023-12-31T21:25:04.130351Z,0,0,0.5,"['indie', 'accuracy', 'challenge', 'hip-hop-rap']",['ExpertPlus'],2024-01-12,4XHTWlzGir4veOEBFTQZzi,https://beatsaver.com/maps/3879f,http://open.spotify.com/track/4XHTWlzGir4veOEBFTQZzi,ADHD,Lancey Foux,2LakckgvXEtJlKOYP6BO11,BACK2DATRAP,2023,album,76433.0,['rage rap'],0.72,0.698,10.0,-4.125,0.0,0.272,0.00687,0.0,0.288,0.357,78.478,4.0,50.0,False,True,27.566999999999993,False
38798,The Brave,YOASOBI,Mitsumeru,4284767,196,False,2023-12-31T20:20:09.121201Z,64,6,0.8711,"['balanced', 'anime', 'j-pop']","['Expert', 'ExpertPlus']",2024-01-12,2C0zR1j4Xd5JVSrMABMFSG,https://beatsaver.com/maps/38798,http://open.spotify.com/track/2C0zR1j4Xd5JVSrMABMFSG,The Brave,YOASOBI,64tJ2EAv1R6UaZqc4iOCyj,The Brave,2023,album,194423.0,"['j-pop', 'japanese teen pop']",0.664,0.922,7.0,-3.959,0.0,0.0468,0.0286,2.73e-06,0.119,0.638,104.038,4.0,62.0,True,True,1.5769999999999982,True
